age,color,name,gender,city
23,33,78,76,49
49,22,36,73,37
77,82,38,30,5
65,79,42,70,11
51,27,20,15,17
81,53,32,61,60
66,3,55,83,13
13,14,52,31,33
78,27,69,33,6
22,32,14,57,85
61,39,4,76,86
87,28,34,62,54
85,22,65,80,51
50,57,34,42,31
9,67,37,28,8
6,57,28,68,23
35,65,1,27,52
30,35,16,65,39
7,41,7,1,32
26,26,22,71,17
9,66,84,32,31
53,50,17,40,10
30,12,34,1,58
29,26,48,38,84
27,16,80,63,10
9,16,46,63,89
78,63,48,1,20
19,44,56,25,18
19,37,57,54,45
31,43,82,39,40
59,25,18,60,36
15,30,76,7,20
73,74,54,38,80
10,53,36,81,84
61,16,65,63,29
43,53,88,61,50
2,47,35,58,24
2,49,81,43,34
89,19,58,27,72
11,50,88,66,51
1,43,26,87,0
4,45,59,6,9
61,22,80,23,3
69,11,58,42,85
78,7,81,82,40
33,29,82,88,83
47,73,68,38,40
27,31,16,64,41
82,52,9,73,43
0,64,6,41,36
74,61,12,58,74
63,63,11,26,10
16,49,50,4,62
86,84,69,85,64
46,13,80,89,20
30,39,21,14,51
18,59,47,51,3
6,34,34,50,48
60,69,1,17,22
63,43,38,72,39
81,54,75,85,82
21,85,77,20,53
22,42,21,21,56
82,33,27,64,77
73,17,38,82,1
59,21,20,49,39
15,44,16,14,41
61,83,74,31,5
59,84,9,31,88
47,29,4,5,24
36,83,43,41,35
70,6,19,68,51
45,2,24,12,88
14,11,86,19,21
73,36,84,5,18
63,54,86,4,60
49,0,8,50,55
36,81,53,44,63
26,29,74,50,63
8,5,79,48,19
73,35,81,53,67
59,2,79,58,16
65,22,85,17,24
38,46,36,83,10
76,47,44,50,60
50,21,75,28,66
54,4,14,15,20
36,71,12,53,1
68,65,11,7,38
84,61,67,21,31
34,0,3,16,57
2,24,74,62,5
61,50,23,14,18
58,40,77,84,68
55,53,2,41,41
19,87,16,75,26
29,49,58,10,1
74,4,89,36,73
25,25,0,21,1
69,84,1,1,1
88,47,25,69,40
8,47,42,25,68
42,61,7,47,32
65,35,35,48,4
83,17,3,36,12
65,85,43,89,48
12,87,16,41,11
30,39,46,85,54
26,69,8,25,81
15,81,53,64,7
50,26,66,42,46
87,40,11,71,35
23,13,35,34,23
6,70,79,22,46
15,85,60,52,40
11,38,8,6,35
17,18,25,34,69
22,43,27,3,26
2,52,75,33,0
34,57,74,18,10
39,37,45,26,54
65,72,75,79,7
79,14,73,33,87
37,79,0,36,60
71,52,86,1,52
53,76,4,10,53
89,42,22,82,69
27,21,6,79,3
10,20,5,24,45
69,66,81,12,13
21,27,34,69,42
80,26,14,48,86
37,32,53,13,57
75,69,58,75,0
62,4,38,30,84
63,14,52,24,41
78,9,79,56,42
28,78,29,64,5
10,36,58,16,23
73,85,0,41,67
78,63,23,25,66
13,14,18,49,48
76,61,50,25,31
51,40,6,71,21
35,14,26,57,42
17,30,1,63,20
24,1,14,83,2
16,28,38,12,10
83,61,78,78,51
85,65,31,57,48
16,34,13,3,49
87,63,11,15,57
53,60,60,3,30
26,39,28,35,82
55,41,81,88,42
3,5,19,72,84
33,2,18,18,87
46,75,65,67,4
64,74,38,10,7
76,26,14,59,21
67,8,63,38,75
45,20,47,73,89
42,6,84,33,83
30,62,0,4,36
79,2,71,27,1
6,31,24,5,48
60,48,64,34,85
25,53,87,58,3
20,59,75,18,68
71,76,74,56,7
27,8,1,50,32
67,44,61,70,36
87,60,33,59,77
51,31,78,43,62
