Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
E12000003,H,2,1,2,3,1,2,1,2,1,1,1,4,9,3,2
E12000009,H,2,1,1,5,2,2,2,1,2,2,1,8,2,4,4
E12000003,H,2,1,2,8,2,2,1,2,1,2,9,9,8,-9,4
E12000009,H,3,1,2,2,1,1,1,1,1,2,4,6,11,1,4
E12000009,H,1,1,1,2,1,2,1,1,1,1,9,5,3,-9,3
E12000009,H,2,1,2,4,2,2,1,2,1,9,2,7,4,3,4
E12000004,H,3,1,1,6,2,2,1,1,1,2,1,9,10,1,4
E12000002,H,-9,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
E12000005,H,1,1,2,8,5,2,1,5,1,2,5,9,5,-9,4
E12000002,H,2,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
